#water_vapour=f(CIBR)=square(b0*log10(CIBR)+b1)
#CIBR=Band_in_WV/Band_out_WV
#Sentinel 2-> CIBR= Band_9/Band_8A
#WV[g/cm2]
surface_reflectance;sun_zenith;view_zenith;azimuth;ground_altitude;b0;b1
0.05;30;0;0;1.0;-2.66800334498;-0.127273358831
0.05;30;0;0;1.5;-2.76384241303;-0.141330755121
0.05;30;0;0;2.0;-2.84000914199;-0.150321783142
0.05;30;0;0;3.0;-2.83090268762;-0.136102069913
0.05;30;0;0;4.0;-3.02236214751;-0.161960100619
0.05;30;0;45;0.0;-2.65991888424;-0.137732526304
0.05;30;0;45;0.5;-2.63003878825;-0.122035261853
0.05;30;0;45;1.0;-2.65866204417;-0.11950110813
0.05;30;0;45;1.5;-2.74287515102;-0.13913810773
0.05;30;0;45;2.0;-2.83601066913;-0.152266883235
0.05;30;0;45;3.0;-2.86194827424;-0.147030258997
0.05;30;0;45;4.0;-3.01445179527;-0.166379361609
0.05;30;0;90;0.0;-2.64672855385;-0.137197968224
0.05;30;0;90;0.5;-2.61010473428;-0.119884056699
0.05;30;0;90;1.0;-2.65359465329;-0.125682610989
0.05;30;0;90;1.5;-2.76439587424;-0.144638126419
0.05;30;0;90;2.0;-2.86283498029;-0.15957130698
0.05;30;0;90;3.0;-2.84695677635;-0.143930147002
0.05;30;0;90;4.0;-2.98950419546;-0.159033691461
0.05;30;0;125;0.0;-2.60513147838;-0.124507246856
0.05;30;0;125;0.5;-2.61134247112;-0.11718466278
0.05;30;0;125;1.0;-2.64996558476;-0.118441970483
0.05;30;0;125;1.5;-2.76294301588;-0.146212473409
0.05;30;0;125;2.0;-2.85657019448;-0.162357861589
0.05;30;0;125;3.0;-2.86870656239;-0.146925181296
0.05;30;0;125;4.0;-2.99119119907;-0.156342751524
0.05;30;0;180;0.0;-2.62129744671;-0.128475737102
0.05;30;0;180;0.5;-2.60808797158;-0.117153147994
0.05;30;0;180;1.0;-2.64248672881;-0.121933266545
0.05;30;0;180;1.5;-2.75352570861;-0.140133637127
0.05;30;0;180;2.0;-2.85299173641;-0.164227422135
0.05;30;0;180;3.0;-2.85916026908;-0.143178364922
